4
90
80 80
44 53 4
59 30 3
61 36 3
65 34 3
13 46 1
16 38 1
11 36 1
39 14 2
38 9 2
29 20 2
61 38 3
11 58 1
14 42 1
10 42 1
69 32 3
71 30 3
70 38 3
10 41 1
10 44 1
11 54 1
63 29 3
61 21 3
65 43 3
9 57 1
10 52 1
21 41 1
8 46 1
12 38 1
68 30 3
61 28 3
8 35 1
10 38 1
66 25 3
58 39 3
13 49 1
8 46 1
20 55 1
38 56 4
37 60 4
21 53 1
11 48 1
64 39 3
63 41 3
11 53 1
14 57 1
66 39 3
9 49 1
16 39 1
10 35 1
13 51 1
67 44 3
63 24 3
38 11 2
27 21 2
41 24 2
29 23 2
36 10 2
37 19 2
29 10 2
58 43 3
66 28 3
64 21 3
35 26 2
37 24 2
62 25 3
63 28 3
38 56 4
37 60 4
47 54 4
45 48 4
44 60 4
39 51 4
43 52 4
18 58 1
20 56 1
62 30 3
64 20 3
59 24 3
21 52 1
38 61 4
45 63 4
44 55 4
19 46 1
44 47 4
41 66 4
40 55 4
49 52 4
61 30 3
69 24 3
57 39 3
